Origin, Inside
http://localhost/projectinsight.webapp/api/help , http://localhost/training-support/knowledgebase
http://localhost/projectinsight.webapp/api/help , http://localhost/forums/
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/approvalrequest
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-approval-request
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-approval-request-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/t
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-approvalrequest
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/approvalrequestapproval
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-approval-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-approval-request-approval
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-approval-request-approval-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-approval-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-approvalrequestapproval
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/approvalrequestitem
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-item-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-approval-request-item
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-approval-request-item-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-item-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-approvalrequestitem
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/approvalrequestnotification
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-notification-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-approval-request-notification
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-approval-request-notification-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-approval-request-notification-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-approvalrequestnotification
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/comment
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-comment-list-by-object-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-comment-list-by-object-system-comments-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-comment-list-by-object-user-comments-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-comment-file-upload
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-comment-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-comment
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-comment-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-comment-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-comment
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/commenttype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-comment-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-comment-type
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-comment-type-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-comment-type-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-commenttype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/company
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-list-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-list-all
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-list-communicate-active
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-company
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-company-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-company
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/companycontract
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-company-contract
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-company-contract-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-companycontract
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/companycontractexpensecode
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-expense-code-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/post-company-contract-expense-code
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/delete-company-contract-expense-code-id
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-expense-code-list
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-api-companycontractexpensecode
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/model/companycontractresourcetype
http://localhost/projectinsight.webapp/api/help , http://localhost/projectinsight.webapp/api/help/get-company-contract-resource-type-id
